BZW, Blizzard Warning
CFA, Coastal Flood Watch
CFW, Coastal Flood Warning
DSW, Dust Storm Warning
FFA, Flash Flood Watch
FFW, Flash Flood Warning
FFS, Flash Flood Statement
FLA, Flood Watch
FLW, Flood Warning
FLS, Flood Statement
HWA, High Wind Watch
HWW, High Wind Warning
HUA, Hurricane Watch
HUW, Hurricane Warning
HLS, Hurricane Statement
SVA, Severe Thunderstorm Watch
SVR, Severe Thunderstorm Warning
SVS, Severe Weather Statement
SMW, Special Marine Warning
SPS, Special Weather Statement
TOA, Tornado Watch
TOR, Tornado Warning
TRA, Tropical Storm Watch
TRW, Tropical Storm Warning
TSA, Tsunami Watch
TSW, Tsunami Warning
WSA, Winter Storm Watch
WSW, Winter Storm Warning
